sample_index,image_path,headline,prompt_tokens,completion_tokens,total_tokens
167,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_215.png,I have a sense of regret for Jamie Cullum and his ilk short men who are confident enough to step out with much taller women in his case Sophie Dahl,4401,1500,5901
168,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_115.png,mail order mickey mouse watch from russia,3657,1578,5235
169,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_457.png,Robert Masterson president of Ripley s Believe It or Not in front of the Ripley s Believe It or Not museum in Orlando Florida,4745,1569,6314
170,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_538.png,Action films are a subgenre of martial arts films.,3781,1416,5197
171,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_110.png,A small horse on a large wooden chair.,4054,1584,5638
172,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_197.png,A draft proposal suggests two garden cities at Yalding in Kent and Gerrards Cross in Buckinghamshire,4130,1647,5777
173,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_415.png,the entrance of this restroom has a detailed map for the blind,4426,1422,5848
174,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_317.png,Study Claims Herbal Tea From Amazon Rainforest Eradicates COVID-19 Instantly,4096,1518,5614
175,data/MMFakeBench_test/real/guardian_test_500/guardian_test_5.png,Business rates have added about 500m to retailers costs in the past three years,4249,1450,5699
176,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_225.png,Charles Kennedy on the campaign trail in 2005 shortly after the birth of his son Donald,6200,1495,7695
177,data/MMFakeBench_test/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_144.png,"Mark Wahlberg Teased Mel Gibson About Weight, Offered To Become Personal Trainer?",4093,1591,5684
178,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_411.png,Mats Zuccarello scored for the New York Rangers a little more than two minutes later to make it 20,5338,2067,7405
179,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_34.png,New Jersey Gov Chris Christie speaks March 6 2014 at the American Conservative Union Conference in National Harbor Md,4079,1414,5493
180,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_652.png,Issa Rae created Arrested Development.,4321,1258,5579
181,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_981.png,Touch My Body is a law.,3772,1420,5192
182,data/MMFakeBench_test/real/bbc_test_500/bbc_test_251.png,Sameena Jabeen Ahmed received her best newcomer award from actor James Corden,4200,1460,5660
183,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_259.png,Bernie Sanders speaks in Des Moines Iowa on Thursday,4214,1643,5857
184,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_900.png,The Tenth Doctor is accompanied by Rose Tyler for The End of Time.,14092,1294,15386
185,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_101.png,Bangladeshi security personnel stand guard near a restaurant attacked by gunmen in Dhaka Bangladesh on July 1 2016,4318,1603,5921
186,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_256.png,tree man of bangladesh cured after operations to fight rare skin condition,4334,1478,5812
187,data/MMFakeBench_test/real/wash_test_500/wash_test_52.png,The iPhone 5C is displayed during an Apple product announcement at the Apple campus in Cupertino Calif It was released Sept 20 2013,4249,1280,5529
188,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_134.png,Indian environment minister Jairam Ramesh left and China s senior climate change adviser Xie Zhenhua centre left with South African and Brazilian representatives in Delhi,4492,1789,6281
189,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_82.png,A yellow fluffy cat sitting in a window sill next to a window.,3779,1501,5280
190,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_406.png,David Lloyd George was voted the second greatest British prime minister of the 20th century.,3926,1426,5352
191,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_6.png,Dedham Vale Essex and Suffolk Come May the coach parties from Shenzhen arrive and stay until autumn,3953,1302,5255
192,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_4.png,there was a funnel in the clouds on the way home,4071,1459,5530
193,data/MMFakeBench_test/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_217.png,"Eternal Harmony: Vivaldi's Cleopatre - A musical masterpiece, composed by Vivaldi: unveiling the mysterious Queen of Ancient Egypt with unprecedented artistry.",3912,1624,5536
194,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_147.png,BREAKING! Roy Moore's Accuser Worked for Democratic Leaders and Is Actively Campaigning for Moore's Opponent - Activist Mommy,4264,1585,5849
195,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_442.png,Ben Stokes thwacks his way to 47 when he misjudges a Peter Siddle delivery and leaves it but it catches the top of his middle stump,4902,1923,6825
196,data/MMFakeBench_test/real/wash_test_500/wash_test_231.png,Redskins quarterback Robert Griffin III runs during pregame warmups at Raymond James Stadium,3924,1361,5285
197,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_40.png,Serena Williams questions a call Williams advance to Saturday s final,5843,1590,7433
198,data/MMFakeBench_test/fake/llm_gossip_md_generation_test_100/gpt_generation_gossipcop_test_md_25.png,Jennifer Aniston Accused of Sabotaging Brad Pitt's Hollywood Comeback Amid Divorce Drama,4457,1694,6151
199,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_107.png,a silver oven sits next to other appliances,3601,1422,5023
200,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_153.png,A very tall and big room with some people.,3871,1476,5347
