sheet_row,sample_id,image_path,claim,fake_cls,gt,J1_label,J1_conf,J1_rationale,J2_label,J2_conf,J2_rationale,evidence_sufficient,notes
140,3899,/fake/fever_AI_test_1000/fever_test_md_900.png,,textual_veracity_distortion,Fake,Misinformation,0.7,"The image is partially aligned with the headline, but the connection to 'The End of Time' is ambiguous. The QA analysis does not provide specific information about 'The End of Time,' which raises doubts about the accuracy of the headline.",Not Misinformation,0.9,"The evidence supports the claim that the Tenth Doctor is accompanied by Rose Tyler. Specifically, evidence items [1] and [2] confirm that Rose Tyler was a companion of both the Ninth and Tenth Doctors. Additionally, the visual veracity signal indicates that the image is not AI-generated, which supports its relevance to the claim. The partial relevancy signal suggests some ambiguity, but the strong evidence regarding Rose's companionship with the Tenth Doctor resolves this conflict.",,
141,ds1564,/real/guardian_test_500/guardian_test_64.png,,original,True,,,,,,,,
142,4368,/fake/rumor_match_test_750/rumor_match_test_368.png,,textual_veracity_distortion,Fake,Misinformation,0.9,"The image does not align with the headline as it depicts Ben Affleck and Jennifer Garner instead of Jennifer Garner and Josh Duhamel. The headline is true, but the image is completely wrong.",Not Misinformation,0.8,"The evidence supports the claim that Jennifer Garner and Josh Duhamel are rumored to be dating, and that Ben Affleck feels threatened by these rumors. The visual veracity indicates the image is genuine, and while the relevancy signal is low, the supporting evidence from multiple sources confirms the dating rumors and Affleck's feelings. Key evidence items include: https://okmagazine.com/videos/jennifer-garner-dating-josh-duhamel-romance-moving/ and https://hollywoodlife.com/2018/01/10/ben-affleck-threatened-jennifer-garner-josh-duhamel-dating-rumor/.",,
143,ds9200,/fake/coco_image_edit_test_500/coco_image_edit_test_200.png,,mismatch,Fake,,,,,,,,
144,ds2126,/real/coco_test_500/coco_test_126.png,,original,True,Not Misinformation,0.8,"The headline is accurate based on the Q/A analysis, and the image is genuine and partially aligned with the headline. The confidence level of 0.8 indicates a high likelihood of relevance despite the incomplete details.",Misinformation,0.9,"The evidence indicates that the claim about identical street signs pointing in opposite directions is misleading. The retrieved evidence from Swansea confirms that the signs were identical and placed one behind the other, which does not support the idea of them pointing in opposite directions. The visual veracity signal suggests the image is genuine, but the conflicting evidence about the orientation of the signs leads to the conclusion of misinformation. The decisive evidence item is [1] from Wales Online, which clarifies the situation regarding the street signs in Swansea.",,
145,2237,/real/coco_test_500/coco_test_237.png,,original,True,,,,,,,,
146,ds5714,/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_15.png,,textual_veracity_distortion,Fake,,,,,,,,
147,8411,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_411.png,,mismatch,Fake,Misinformation,0.6,"The image is partially aligned with the headline but does not confirm the specific event of Mats Zuccarello scoring. The headline is true based on Q/A analysis, but the image does not provide sufficient evidence to support the claim.",Not Misinformation,0.8,"The visual veracity indicates that the image is not AI-generated, and the evidence supports that Mats Zuccarello has scored for the New York Rangers in various games. Specifically, the evidence from the Wikipedia page confirms that he scored his first NHL goal for the Rangers, and other sources detail his scoring contributions. There is no evidence contradicting the claim about him scoring, thus supporting the headline.",,
148,ds1360,/real/wash_test_500/wash_test_360.png,,original,True,,,,,,,,
149,ds2864,/real/fakeddit_test_500/fakeddit_test_364.png,,original,True,Not Misinformation,0.7,"The headline is supported by the QA analysis indicating a dye leak, and the image is genuine and partially aligned with the subject matter. The confidence level of 0.7 suggests a reasonable connection between the image and the headline.",Misinformation,0.9,"The evidence indicates that there was a dye leak from a fabric dye unit that contaminated the water supply chain, which aligns with the claim of dye leakage. However, the specific claim that the dye leaked and gave the egg polka dots when peeled is not directly supported by the evidence. The visual veracity signal indicates that the image is not AI-generated, but it does not confirm the claim about the dye effect on the egg. Therefore, the evidence contradicts the specific claim about the polka dots resulting from peeling the egg. The decisive evidence item is [1] from the Times of India, which discusses the dye leak but does not confirm the effect on the eggs themselves. Thus, the claim is misleading and constitutes misinformation.",,
150,ds2845,/real/fakeddit_test_500/fakeddit_test_345.png,,original,True,,,,,,,,
